CD_MOEDA;CD_TABELA;FL_ATIVO;ID_MOEDA;ID_TAB_PRC;ID_TIPO_TAB_TISS;TX_DESCRICAO;TX_NOME;ID_USER_STAMP_INS;ID_CONTA_REGISTRO
R$;01;FALSO;255;44869;;Particular;Particular;31388;13921
R$;EDS0001;FALSO;255;44871;;;EDS - Particular;31388;13921
R$;EDS0002;VERDADEIRO;255;44872;;;EDS - TUSS;31388;13921
R$;EDS0011;FALSO;255;44873;;;EDS - migração;31388;13921
R$;1;VERDADEIRO;255;55819;1;;PROCEDIMNETOS ESTÉTICA;31388;13921
R$;1906;FALSO;255;56188;1;;Rinomodelação;31388;13921
R$;odp-unna;VERDADEIRO;255;84483;1;;OdontoPrev - Rede UNNA;31388;13921
